elster-kromschroeder can-bus address scanner and test utility
copyright (c) 2014 Jürg Müller, CH-5524

  { 0x180, 0x07e0, 0x0001},  // ABTAUVERFAHREN: 1
  { 0x180, 0x07e1, 0x0096},  // GRENZDRUCK_ABTAUENDE: 150
  { 0x180, 0x07e2, 0x0005},  // DAEMPFUNG_TAUTEMP_ABTAUAUSLOESUNG: 5
  { 0x180, 0x07e3, 0x0032},  // TEMPERATURDIFFERENZ_ABTAUAUSLOESUNG: 50
  { 0x180, 0x07e4, 0x0000},  // FREIGABE_ABTAUERKENNUNG: 0
  { 0x180, 0x07e5, 0x04b0},  // BEGRENZUNG_HEISSGASTEMPERATUR: 1200
  { 0x180, 0x07e6, 0x0014},  // P_FAKTOR_BEGRENZUNG_HEISSGASTEMPERATUR: 20
  { 0x180, 0x07e7, 0x0050},  // LUEFTERLEISTUNG_AT_MIN: 80
  { 0x180, 0x07e8, 0x0050},  // LUEFTERLEISTUNG_AT_MAX: 80
  { 0x180, 0x07e9, 0x00c8},  // GRENZWERT_ABWEICHUNG_V_KENNLINIE: 200
  { 0x180, 0x07ea, 0x000a},  // ZEIT_WAECHTER_ABWEICHUNG_V_KENNLINIE: 10
  { 0x180, 0x07eb, 0x012c},  // MINIMALER_GRENZWERT_UEBERHITZUNG: 300
  { 0x180, 0x07ec, 0x000a},  // ZEIT_WAECHTER_UEBERHITZUNG: 10
  { 0x180, 0x07ed, 0x0001},  // ND_EVE_FUNKTION: 1
  { 0x180, 0x07ee, 0x000c},  // ND_EVE_GRENZWERT: 12
  { 0x180, 0x07ef, 0x000a},  // ND_MASKIERZEIT: 10
  { 0x180, 0x07f0, 0x0002},  // HD_EVE_FUNKTION: 2
  { 0x180, 0x07f1, 0x01a4},  // HD_EVE_GRENZWERT_VHD: 420
  { 0x180, 0x07f2, 0x0000},  // BETRIEBSART_WP: 0
  { 0x180, 0x07f3, 0x003c},  // SOLLWERT_UEBERHITZUNG: 60
  { 0x180, 0x07f4, 0x004d},  // ISTWERT_UEBERHITZUNG_VERDAMPFER: 77
